30
7321
1 3
816.323 23.8967 1
816.323 23.8968 2
850.865 20.4061 3
883.259 16.5431 4
914.869 13.7818 5
943.949 10.7032 6
972.991 8.40464 7
972.985 8.4 8
999.993 5.5257 9
1026.07 4.36453 10
1049.93 2.26637 11
1071.42 0.521965 12
1092.48 -0.235986 13
1092.46 -0.242298 14
1 15
788 28 0
823.925 23.9491 1
823.925 23.9491 2
858.428 20.464 3
890.726 16.6368 4
921.892 14.0584 5
950.959 10.9744 6
979.445 9.19807 7
979.437 9.18844 8
1006.38 6.33633 9
1032.23 5.54457 10
1055.67 3.75891 11
1077.02 2.00589 12
1097.93 1.47723 13
1097.91 1.47177 14
1 16
796 28 0
831.739 23.9614 1
831.739 23.9615 2
865.756 20.5742 3
897.886 16.781 4
928.714 14.3266 5
957.757 11.2381 6
985.888 9.57618 7
985.88 9.56484 8
1012.59 6.70124 9
1038.3 5.89066 10
1061.37 4.3502 11
1082.51 2.53211 12
1103.23 2.18587 13
1103.21 2.17993 14
1120.72 -0.281889 15
1 16
804 28 0
839.014 24.0355 1
839.013 24.0355 2
872.955 20.6638 3
904.987 16.8855 4
935.383 14.5208 5
964.325 11.4375 6
992.071 9.61824 7
992.063 9.60613 8
1018.29 6.81303 9
1043.89 5.92354 10
1066.84 4.35252 11
1087.79 2.4769 12
1108.41 2.19497 13
1108.39 2.18782 14
1125.5 -0.266271 15
1 15
812 28 0
846.77 24.0991 1
846.77 24.0991 2
880.446 20.7835 3
912.388 17.0343 4
942.505 14.7227 5
970.754 11.6846 6
998.132 9.57835 7
998.126 9.56645 8
1024.16 6.82751 9
1049.5 5.77895 10
1072.28 3.97114 11
1092.57 2.07155 12
1113.12 1.78186 13
1113.1 1.77424 14
1 18
900 28 0
933.74 24.4958 1
933.737 24.4937 2
965.468 21.2376 3
995.421 17.7153 4
1024.08 14.9493 5
1050.33 11.9305 6
1076.45 10.1169 7
1076.45 10.1169 8
1100.54 7.29944 9
1124.49 6.31868 10
1145.83 5.4085 11
1164.95 3.55563 12
1183.48 3.26408 13
1183.48 3.26405 14
1199.28 0.94873 15
1213.88 0.626515 16
1226.98 0.368444 17
1 18
908 28 0
941.595 24.5343 1
941.593 24.5324 2
973.186 21.2758 3
1002.91 17.8116 4
1031.33 15.0588 5
1057.52 12.0493 6
1083.56 10.2555 7
1083.56 10.2555 8
1107.45 7.62626 9
1131.26 6.62812 10
1152.41 5.72643 11
1171.51 3.87577 12
1189.8 3.5586 13
1189.8 3.55862 14
1204.78 1.58541 15
1218.87 1.42705 16
1231.66 1.24321 17
1 21
916 28 0
949.264 24.5664 1
949.263 24.5662 2
980.16 21.4273 3
1009.63 17.9828 4
1037.68 15.2558 5
1063.84 12.2507 6
1089.75 10.4311 7
1089.75 10.4311 8
1113.49 7.94975 9
1137.09 6.97053 10
1158.08 6.07103 11
1177.16 4.21976 12
1195.04 3.82858 13
1195.04 3.82857 14
1209.79 2.02078 15
1223.57 1.88385 16
1235.84 1.82316 17
1247.46 -0.139822 18
1257.74 -0.459069 19
1257.74 -0.458186 20
1 22
924 28 0
956.503 24.491 1
956.503 24.491 2
986.838 21.5025 3
1016.14 18.0716 4
1043.86 15.4223 5
1070 12.4197 6
1095.5 10.5146 7
1095.5 10.5146 8
1119.12 8.1235 9
1142.04 7.19814 10
1162.79 6.34966 11
1181.53 4.67618 12
1199.32 4.27545 13
1199.32 4.27544 14
1213.98 2.5323 15
1227.46 2.33791 16
1239.64 2.27967 17
1250.43 1.586 18
1260.71 1.27165 19
1260.7 1.2744 20
1269.72 0.699425 21
1 22
932 28 0
963.76 24.3726 1
963.76 24.3726 2
993.802 21.4372 3
1022.75 18.128 4
1050.05 15.4006 5
1076.16 12.4253 6
1101.22 10.5525 7
1101.22 10.5525 8
1124.53 8.45374 9
1146.71 7.65956 10
1167.19 6.8832 11
1185.44 5.60564 12
1202.89 5.21926 13
1202.88 5.21975 14
1217.44 3.50552 15
1230.69 3.22707 16
1242.81 3.17077 17
1253.32 2.593 18
1263.5 2.30901 19
1263.49 2.31239 20
1272.32 1.62186 21
1 16
1036 28 0
1062.91 24.4512 1
1062.91 24.4512 2
1088.03 22.1236 3
1111.15 19.2567 4
1134.14 17.1018 5
1155.06 14.8494 6
1175.34 13.2776 7
1175.34 13.2776 8
1194.71 12.1722 9
1213.03 10.9603 10
1229.27 10.3912 11
